date,act_symbol,open,high,low,close
2019-09-23,AAPL,218.9500,219.8400,217.6500,218.7200
2019-09-24,AAPL,221.0300,222.4900,217.1900,217.6800
2019-09-25,AAPL,218.5500,221.5000,217.1400,221.0300
2019-09-26,AAPL,220.0000,220.9400,218.8300,219.8900
2019-09-27,AAPL,220.5400,220.9600,217.2800,218.8200
2019-09-30,AAPL,220.9000,224.5800,220.7900,223.9700
2019-10-01,AAPL,225.0700,228.2200,224.2000,224.5900
2019-10-02,AAPL,223.0600,223.5800,217.9300,218.9600
2019-10-03,AAPL,218.4300,220.9600,215.1300,220.8200
2019-10-04,AAPL,225.6400,227.4900,223.8900,227.0100
2019-10-07,AAPL,226.2700,229.9300,225.8400,227.0600
2019-10-08,AAPL,225.8200,228.0600,224.3300,224.4000
2019-10-09,AAPL,227.0300,227.7900,225.6400,227.0300
2019-10-10,AAPL,227.9300,230.4400,227.3000,230.0900
2019-10-11,AAPL,232.9500,237.6400,232.3100,236.2100
2019-10-14,AAPL,234.9000,238.1300,234.6700,235.8700
2019-10-15,AAPL,236.3900,237.6500,234.8800,235.3200
2019-10-16,AAPL,233.3700,235.2400,233.2000,234.3700
2019-10-17,AAPL,235.0900,236.1500,233.5200,235.2800
2019-10-18,AAPL,234.5900,237.5800,234.2900,236.4100
2019-10-21,AAPL,237.5200,240.9900,237.3200,240.5100
2019-10-22,AAPL,241.1600,242.2000,239.6200,239.9600
2019-10-23,AAPL,242.1000,243.2400,241.2200,243.1800
2019-10-24,AAPL,244.5100,244.8000,241.8100,243.5800
2019-10-25,AAPL,243.1600,246.7300,242.8800,246.5800
2019-10-28,AAPL,247.4200,249.2500,246.7200,249.0500
2019-10-29,AAPL,248.9700,249.7500,242.5700,243.2900
2019-10-30,AAPL,244.7600,245.3000,241.2100,243.2600
2019-10-31,AAPL,247.2400,249.1700,237.2600,248.7600
2019-11-01,AAPL,249.5400,255.9300,249.1600,255.8200
